,Q_Value,Morans I,Moran I p,Mean,Variance,N
highway_residential,0.32287060357453345,0.38253037788274785,0.0,41.064729194187585,1736.699905243705,39656
highway_primary,0.29808257476214894,0.14838736119714063,0.0,3.6856010568031703,93.24329333093678,3679
amenity_hospital,0.3362244590907085,0.08124670858375688,0.0,0.06472919418758256,0.1133794841278844,53
amenity_place_of_worship,0.18630258546336687,0.08573712909092647,0.0,0.16380449141347425,0.30870309519779293,139
amenity_police,0.21934040652161657,0.03721543844208501,4.030253532905093e-06,0.03963011889035667,0.040701580493116646,32
amenity_school,0.31821800005198975,0.16827402013132114,0.0,0.19682959048877147,0.3430282576184585,173
amenity_restaurant,0.21690975832809611,0.14462755241802816,0.0,0.30250990752972257,1.4263213093470193,234
leisure_*,0.4636289393584212,0.3376949985012811,0.0,1.451783355350066,9.013857453725597,1285
tourism_*,0.06449582411257027,0.05857272766493977,7.807088309164101e-13,0.2430647291941876,3.3385417302883362,188
shop_mall,0.16667750393999337,0.08690553963768266,0.0,0.0726552179656539,0.14135265919668302,63
shop_supermarket,0.10926293637334472,0.0367829651618725,5.1622146806096225e-06,0.05416116248348745,0.06443777059204361,53
highway_bus_stop,0.4086181672557321,0.2902450687808099,0.0,0.5112285336856011,1.4519875263720903,396
natural_sand,0.04174564485660659,0.017461651686655824,0.024644454093800228,0.04491413474240423,0.07195894242900694,44
natural_wood,0.08293795425464978,0.05971279651378439,2.859934511434403e-13,0.07397622192866579,0.20060413681901546,62
natural_beach,0.13838542679017185,0.0796318055369359,0.0,0.034346103038309116,0.10978467809908048,27
